new_10_Char,10 char .phy format name,Original fasta header,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAAAAAAANE,127Alsi_1_,"Alsi_1 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAAAVQ,171Alsi_2_,"Alsi_2 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAAAWA,189Alsi_3_,"Alsi_3 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAAAYJ,299Alsi_4_,"Alsi_4 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAAAZL,35Alsi_6_A,"Alsi_6 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAABAT,41Alsi_10_,"Alsi_10 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAABHC,71Alsi_8_A,"Alsi_8 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAABIK,77Alsi_7_A,"Alsi_7 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAABLV,93Alsi_5_A,"Alsi_5 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AAAAAAAAJT,111Anca_6_,"Anca_6 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAPT,135Anca_1_,"Anca_1 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAWC,193Anca_3_,"Anca_3 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAWF,199Anca_2_,"Anca_2 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAWM,209Anca_4_,"Anca_4 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAXZ,27Anca_8_A,"Anca_8 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAYV,31Anca_7_A,"Anca_7 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAABFK,63Anca_10_,"Anca_10 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAABGG,67Anca_9_A,"Anca_9 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAABKZ,89Anca_5_A,"Anca_5 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AAAAAAAAZR,371sp|P190,sp|P19004|3SOD_ASPSC Cytotoxin homolog S4C8 OS=Aspidelaps scutatus OX=8607 PE=1 SV=1,Cytotoxin homolog S4C8 ,3FTx,Aspidelaps scutatus ,Elapidae
AAAAAAABAN,409sp|P190,sp|P19003|3SOG_ASPSC Cytotoxin homolog S3C2 OS=Aspidelaps scutatus OX=8607 PE=1 SV=1,Cytotoxin homolog S3C2 ,3FTx,Aspidelaps scutatus ,Elapidae
AAAAAAABGQ,699sp|P256,sp|P25670|3L21_ASPSC Long neurotoxin 1 OS=Aspidelaps scutatus OX=8607 PE=1 SV=1,Long neurotoxin 1 ,3FTx,Aspidelaps scutatus ,Elapidae
AAAAAAAADB,Atractaspis_aterrima_GAME01026808,Atractaspis_aterrima_GAME01026808,-,3FTx,Atractaspis aterrima ,Atractaspididae
AAAAAAAADC,Atractaspis_aterrima_GAMF01050194,Atractaspis_aterrima_GAMF01050194,-,3FTx,Atractaspis aterrima ,Atractaspididae
AAAAAAAADD,Atractaspis_aterrima_GAMF01055489,Atractaspis_aterrima_GAMF01055489,-,3FTx,Atractaspis aterrima ,Atractaspididae
AAAAAAAADE,Atractaspis_aterrima_GAMF01040875,Atractaspis_aterrima_GAMF01040875,-,3FTx,Atractaspis aterrima ,Atractaspididae
AAAAAAAADF,Atractaspis_aterrima_GAMF01005539,Atractaspis_aterrima_GAMF01005539,-,3FTx,Atractaspis aterrima ,Atractaspididae
AAAAAAABJT,841sp|B2BR,sp|B2BRQ6|3L22A_AUSLA AlphaelapitoxinAl2a OS=Austrelaps labialis OX=471292 PE=3 SV=1,AlphaelapitoxinAl2a ,3FTx,Austrelaps labialis ,Elapidae
AAAAAAABJV,845sp|B2BR,sp|B2BRQ5|3L21_AUSLA AlphaelapitoxinAl2b OS=Austrelaps labialis OX=471292 PE=1 SV=1,AlphaelapitoxinAl2b ,3FTx,Austrelaps labialis ,Elapidae
AAAAAAABJC,811sp|A8S6,sp|A8S6A8|3L21_AUSSU Long neurotoxin 1 OS=Austrelaps superbus OX=29156 PE=3 SV=1,Long neurotoxin 1 ,3FTx,Austrelaps superbus ,Elapidae
AAAAAAABJU,843sp|A8S6,sp|A8S6B0|3L22_AUSSU AlphaelapitoxinAs2a OS=Austrelaps superbus OX=29156 PE=3 SV=1,AlphaelapitoxinAs2a ,3FTx,Austrelaps superbus ,Elapidae
AAAAAAABMQ,979sp|A8S6,sp|A8S6A4|3S11_AUSSU Short neurotoxin 1 OS=Austrelaps superbus OX=29156 PE=3 SV=1,Short neurotoxin 1 ,3FTx,Austrelaps superbus ,Elapidae
AAAAAAAAGQ,Azemiops_feae_M9T2J4,Azemiops_feae_M9T2J4,-,3FTx,Azemiops feae ,Viperidae
AAAAAAAAOG,1333Boiga_,Boiga_cynodon_A0A193CHL1,-,3FTx,Boiga cynodon,Colubridae
AAAAAAAAAF,Boiga_cynodon_GGUA01000001,Boiga_cynodon_GGUA01000001,-,3FTx,Boiga cynodon,Colubridae
AAAAAAAAGA,Boiga_cynodon_A0A193CHL1,Boiga_cynodon_A0A193CHL1,-,3FTx,Boiga cynodon ,Colubridae
AAAAAAAAYY,325sp|Q06Z,sp|Q06ZW0|3NB_BOIDE Denmotoxin OS=Boiga dendrophila OX=46286 PE=1 SV=1,Denmotoxin ,3FTx,Boiga dendrophila ,Colubridae
AAAAAAAAFV,Boiga_dendrophila_Q06ZW0,Boiga_dendrophila_Q06ZW0,-,3FTx,Boiga dendrophila ,Colubridae
AAAAAAAALP,1205Boiga_,Boiga_dendrophila_dendrophila_3FTx_23,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAALR,1209Boiga_,Boiga_dendrophila_dendrophila_3FTx_24,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAALU,1215Boiga_,Boiga_dendrophila_dendrophila_3FTx_04,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAALV,1217Boiga_,Boiga_dendrophila_dendrophila_3FTx_25,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAALY,1221Boiga_,Boiga_dendrophila_dendrophila_3FTx_17,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAMD,1231Boiga_,Boiga_dendrophila_dendrophila_3FTx_18,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAME,1233Boiga_,Boiga_dendrophila_dendrophila_3FTx_02,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAMF,1235Boiga_,Boiga_dendrophila_dendrophila_3FTx_01,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAMG,1237Boiga_,Boiga_dendrophila_dendrophila_3FTx_03,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANG,1283Boiga_,Boiga_dendrophila_dendrophila_3FTx_14,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANS,1305Boiga_,Boiga_dendrophila_dendrophila_3FTx_08,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANT,1307Boiga_,Boiga_dendrophila_dendrophila_3FTx_13,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANV,1311Boiga_,Boiga_dendrophila_dendrophila_3FTx_05,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANW,1313Boiga_,Boiga_dendrophila_dendrophila_3FTx_11,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANX,1315Boiga_,Boiga_dendrophila_dendrophila_3FTx_28,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAANZ,1319Boiga_,Boiga_dendrophila_dendrophila_3FTx_41,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAOA,1321Boiga_,Boiga_dendrophila_dendrophila_3FTx_40,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAOB,1323Boiga_,Boiga_dendrophila_dendrophila_3FTx_16,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAOC,1325Boiga_,Boiga_dendrophila_dendrophila_3FTx_06,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAOD,1327Boiga_,Boiga_dendrophila_dendrophila_3FTx_07,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAOE,1329Boiga_,Boiga_dendrophila_dendrophila_3FTx_12,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPF,1383Boiga_,Boiga_dendrophila_dendrophila_3FTx_34,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPH,1387Boiga_,Boiga_dendrophila_dendrophila_3FTx_09,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPI,1389Boiga_,Boiga_dendrophila_dendrophila_3FTx_37,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPJ,1391Boiga_,Boiga_dendrophila_dendrophila_3FTx_38,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPK,1393Boiga_,Boiga_dendrophila_dendrophila_3FTx_10,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPN,1399Boiga_,Boiga_dendrophila_dendrophila_3FTx_33,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAPO,1401Boiga_,Boiga_dendrophila_dendrophila_3FTx_32,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAAG,Boiga_dendrophila_dendrophila_GGUB01000001,Boiga_dendrophila_dendrophila_GGUB01000001,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAEC,Boiga_dendrophila_dendrophila_GGUB01000025,Boiga_dendrophila_dendrophila_GGUB01000025,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAEE,Boiga_dendrophila_dendrophila_GGUB01000027,Boiga_dendrophila_dendrophila_GGUB01000027,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAEG,Boiga_dendrophila_dendrophila_GGUB01000024,Boiga_dendrophila_dendrophila_GGUB01000024,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAEU,Boiga_dendrophila_dendrophila_GGUB01000002,Boiga_dendrophila_dendrophila_GGUB01000002,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAEX,Boiga_dendrophila_dendrophila_GGUB01000005,Boiga_dendrophila_dendrophila_GGUB01000005,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAAFH,Boiga_dendrophila_dendrophila_GGUB01000015,Boiga_dendrophila_dendrophila_GGUB01000015,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAAAAAAALW,1219Boiga_,Boiga_dendrophila_gemmicincta_3FTx_00,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAALZ,1223Boiga_,Boiga_dendrophila_gemmicincta_3FTx_02,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAMA,1225Boiga_,Boiga_dendrophila_gemmicincta_3FTx_04,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAMB,1227Boiga_,Boiga_dendrophila_gemmicincta_3FTx_03,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAMC,1229Boiga_,Boiga_dendrophila_gemmicincta_3FTx_01,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAANU,1309Boiga_,Boiga_dendrophila_gemmicincta_3FTx_05,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAANY,1317Boiga_,Boiga_dendrophila_gemmicincta_3FTx_09,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAPG,1385Boiga_,Boiga_dendrophila_gemmicincta_3FTx_10,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAPM,1397Boiga_,Boiga_dendrophila_gemmicincta_3FTx_11,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAAH,Boiga_dendrophila_gemmicincta_GGUC01000007,Boiga_dendrophila_gemmicincta_GGUC01000007,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAEF,Boiga_dendrophila_gemmicincta_GGUC01000009,Boiga_dendrophila_gemmicincta_GGUC01000009,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAEV,Boiga_dendrophila_gemmicincta_GGUC01000002,Boiga_dendrophila_gemmicincta_GGUC01000002,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAAEW,Boiga_dendrophila_gemmicincta_GGUC01000001,Boiga_dendrophila_gemmicincta_GGUC01000001,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAAAAAAANI,1287Boiga_,Boiga_irregularis_A0A0B8RZX5,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMJ,1241Boiga_,Boiga_irregularis_Brisbane_3FTx_00,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMK,1243Boiga_,Boiga_irregularis_A0A193CHL9,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAML,1245Boiga_,Boiga_irregularis_A0A0B8RYW2,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMM,1247Boiga_,Boiga_irregularis_A0A0B8RZW9,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMN,1249Boiga_,Boiga_irregularis_Sulawesi_3FTx_05,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMO,1251Boiga_,Boiga_irregularis_A0A193CHL4,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMP,1253Boiga_,Boiga_irregularis_Sulawesi_3FTx_03,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMQ,1255Boiga_,Boiga_irregularis_Sulawesi_3FTx_01,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMR,1257Boiga_,Boiga_irregularis_A0A0B8RS37,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMS,1259Boiga_,Boiga_irregularis_A0A0B8RSY6,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMU,1261Boiga_,Boiga_irregularis_A0A0B8RYX1,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMV,1263Boiga_,Boiga_irregularis_Sulawesi_3FTx_02,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMW,1265Boiga_,Boiga_irregularis_A0A0B8RZY0,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMX,1267Boiga_,Boiga_irregularis_A0A0B8RSZ3,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMY,1269Boiga_,Boiga_irregularis_A0A0B8RVC5,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAMZ,1271Boiga_,Boiga_irregularis_Sulawesi_3FTx_04,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANA,1273Boiga_,Boiga_irregularis_A0A0B8RS48,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANB,1275Boiga_,Boiga_irregularis_Brisbane_3FTx_06,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANC,1277Boiga_,Boiga_irregularis_A0A193CHL6,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAND,1279Boiga_,Boiga_irregularis_Brisbane_3FTx_07,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANF,1281Boiga_,Boiga_irregularis_Brisbane_3FTx_08,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANJ,1289Boiga_,Boiga_irregularis_Sulawesi_3FTx_13,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANK,1291Boiga_,Boiga_irregularis_A0A0B8RVB2,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANL,1293Boiga_,Boiga_irregularis_A0A0B8RVB7,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANM,1295Boiga_,Boiga_irregularis_Brisbane_3FTx_03,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANN,1297Boiga_,Boiga_irregularis_A0A0B8RYX5,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAANO,1299Boiga_,Boiga_irregularis_A0A0B8RS42,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOH,1335Boiga_,Boiga_irregularis_A0A0B8RYY0,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOI,1337Boiga_,Boiga_irregularis_A0A0B8RSZ0,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOJ,1339Boiga_,Boiga_irregularis_A0A0B8RVB9,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOK,1341Boiga_,Boiga_irregularis_A0A0B8RZX6,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOL,1343Boiga_,Boiga_irregularis_A0A0B8RYY3,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOO,1349Boiga_,Boiga_irregularis_A0A0B8RS43,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOP,1351Boiga_,Boiga_irregularis_A0A0B8RSZ1,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOQ,1353Boiga_,Boiga_irregularis_A0A0B8RS45,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOR,1355Boiga_,Boiga_irregularis_Sulawesi_3FTx_11,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOS,1357Boiga_,Boiga_irregularis_A0A0B8RYY5,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOT,1359Boiga_,Boiga_irregularis_Brisbane_3FTx_02,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOU,1361Boiga_,Boiga_irregularis_A0A0B8RZX8,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOV,1363Boiga_,Boiga_irregularis_Sulawesi_3FTx_08,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOW,1365Boiga_,Boiga_irregularis_A0A0B8RS19,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOX,1367Boiga_,Boiga_irregularis_Sulawesi_3FTx_09,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOY,1369Boiga_,Boiga_irregularis_A0A0B8RZX0,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAOZ,1371Boiga_,Boiga_irregularis_Sulawesi_3FTx_07,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAPA,1373Boiga_,Boiga_irregularis_Brisbane_3FTx_13,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAPB,1375Boiga_,Boiga_irregularis_A0A0B8RS22,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAPC,1377Boiga_,Boiga_irregularis_A0A0B8RSY0,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAPD,1379Boiga_,Boiga_irregularis_A0A0B8RVA5,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAPE,1381Boiga_,Boiga_irregularis_Sulawesi_3FTx_06,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAAC,Boiga_irregularis_Brisbane_GGUD01000006,Boiga_irregularis_Brisbane_GGUD01000006,-,3FTx,Boiga irregularis,Colubridae
AAAAAAAAYP,309sp|A0S8,sp|A0S864|3NBA_BOIIR Irditoxin both subunnits OS=Boiga irregularis OX=92519 PE=1 SV=1,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAYQ,311sp|A0S8,sp|A0S864_2|3NBA_BOIIR Irditoxin both subunnits OS=Boiga irregularis OX=92519 PE=1 SV=1,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae
AAAAAAAABS,Boiga_irregularis_Sulawesi_GGUE01000001,Boiga_irregularis_Sulawesi_GGUE01000001,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEK,Boiga_irregularis_A0A193CHM0,Boiga_irregularis_A0A193CHM0,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEM,Boiga_irregularis_Brisbane_GGUD01000001,Boiga_irregularis_Brisbane_GGUD01000001,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEN,Boiga_irregularis_A0A193CHL9,Boiga_irregularis_A0A193CHL9,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEO,Boiga_irregularis_A0A0B8RYX1,Boiga_irregularis_A0A0B8RYX1,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEP,Boiga_irregularis_A0A0B8RSZ3,Boiga_irregularis_A0A0B8RSZ3,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAEQ,Boiga_irregularis_A0A0B8RYY9,Boiga_irregularis_A0A0B8RYY9,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAER,Boiga_irregularis_A0A0B8RS48,Boiga_irregularis_A0A0B8RS48,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAES,Boiga_irregularis_Brisbane_GGUD01000007,Boiga_irregularis_Brisbane_GGUD01000007,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAET,Boiga_irregularis_A0A193CHL6,Boiga_irregularis_A0A193CHL6,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAFW,Boiga_irregularis_A0S865,Boiga_irregularis_A0S865,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAFX,Boiga_irregularis_A0A0B8RZX5,Boiga_irregularis_A0A0B8RZX5,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAFY,Boiga_irregularis_A0A0B8RVB7,Boiga_irregularis_A0A0B8RVB7,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAGC,Boiga_irregularis_Brisbane_GGUD01000016,Boiga_irregularis_Brisbane_GGUD01000016,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAAGE,Boiga_irregularis_A0A0B8RZX6,Boiga_irregularis_A0A0B8RZX6,-,3FTx,Boiga irregularis ,Colubridae
AAAAAAAALQ,1207Boiga_,Boiga_nigriceps_3FTx_01,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAAMH,1239Boiga_,Boiga_nigriceps_3FTx_02,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAANH,1285Boiga_,Boiga_nigriceps_3FTx_06,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAAOM,1345Boiga_,Boiga_nigriceps_3FTx_03,-,3FTx,Boiga nigriceps,Colubridae
AAAAAAAAON,1347Boiga_,Boiga_nigriceps_3FTx_04,-,3FTx,Boiga nigriceps,Colubridae
